CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0045,0.9999999786669439
C0001,C0007,0.9999999663732899
C0001,C0112,0.9999999645085256
C0002,C0134,0.9999999913076749
C0002,C0103,0.9999999760850321
C0002,C0106,0.9999999728242661
C0003,C0031,0.999999974478116
C0003,C0059,0.9999998351188037
C0003,C0008,0.9999998204520683
C0004,C0113,0.9999999724380777
C0004,C0122,0.9999999642932343
C0004,C0104,0.9999999536020114
C0005,C0007,0.9999999987210894
C0005,C0197,0.999999964228738
C0005,C0096,0.9999999613323864
C0006,C0041,0.9999998679547726
C0006,C0167,0.9999998568353794
C0006,C0185,0.9999998258349139
C0007,C0005,0.9999999987210894
C0007,C0001,0.9999999663732899
C0007,C0096,0.9999999625935378
C0008,C0181,0.9999999395662876
C0008,C0189,0.9999999301775102
C0008,C0051,0.9999998844825241
C0009,C0034,0.9999998946728887
C0009,C0022,0.9999998200500437
C0009,C0150,0.9999997987345787
C0010,C0061,0.9999999874930922
C0010,C0042,0.9999999864814563
C0010,C0099,0.9999999788674184
C0011,C0027,0.9999999853746881
C0011,C0070,0.9999999650527205
C0011,C0153,0.999999956029094
C0012,C0065,0.9999998829332635
C0012,C0172,0.9999996314602446
C0012,C0136,0.9999987391838236
C0013,C0183,0.9999996240940208
C0013,C0016,0.9999995520124335
C0013,C0032,0.9999995420665186
C0014,C0089,0.9999992400315071
C0014,C0080,0.9999984700025168
C0014,C0097,0.9999977884248009
C0015,C0123,0.9999999985186824
C0015,C0047,0.9999998434383934
C0015,C0041,0.99999977440217
C0016,C0183,0.9999999965422174
C0016,C0088,0.9999998335804154
C0016,C0101,0.9999998040981949
C0017,C0090,0.9999999593179721
C0017,C0041,0.9999999454726023
C0017,C0121,0.999999934331734
C0018,C0085,0.9999991855847948
C0018,C0146,0.999998953498649
C0018,C0035,0.9999987204176713
C0019,C0070,0.9999999622980452
C0019,C0125,0.999999949614023
C0019,C0168,0.9999999494149403
C0020,C0084,0.9999971562142204
C0020,C0072,0.9999970633430593
C0020,C0069,0.9999968918781346
C0021,C0075,0.9999999847625827
C0021,C0155,0.9999999780215584
C0021,C0168,0.9999999584673764
C0022,C0200,0.9999999103600095
C0022,C0034,0.9999998956353998
C0022,C0099,0.999999887589873
C0023,C0168,0.9999999701983048
C0023,C0125,0.9999999687381514
C0023,C0112,0.9999999642491285
C0024,C0081,0.9999999139396377
C0024,C0185,0.9999999083018328
C0024,C0167,0.999999901645128
C0025,C0196,0.9999999998331723
C0025,C0079,0.9999999958559076
C0025,C0103,0.9999999801613497
C0026,C0129,0.999999702068643
C0026,C0190,0.9999996259589197
C0026,C0069,0.9999994640808161
C0027,C0011,0.9999999853746881
C0027,C0074,0.9999999608982928
C0027,C0082,0.9999999588851666
C0028,C0190,0.9999998431279244
C0028,C0057,0.9999997117871136
C0028,C0032,0.9999996465151397
C0029,C0074,0.9999999795729815
C0029,C0109,0.9999999787237895
C0029,C0165,0.9999999712018381
C0030,C0077,0.9999998095768071
C0030,C0022,0.9999997413295849
C0030,C0034,0.9999997268482614
C0031,C0003,0.999999974478116
C0031,C0059,0.9999998151116297
C0031,C0129,0.9999997537661579
C0032,C0183,0.9999997943150056
C0032,C0016,0.9999997636061473
